Dataset,Time,Collection Size,Error
small1,0.04,5,0
small2,0.02,3,0
small3,0.04,5,0
small4,0.03,4,0
small5,0.04,5,0
small6,0.02,3,0
small7,0.02,3,0
small8,0.02,2,0
small9,0.02,3,0
small10,0.02,2,0
small11,0.03,4,0
small12,0.02,3,0
small13,0.02,2,0
small14,0.02,2,0
small15,0.02,2,0
small16,0.02,2,0
small17,0.02,2,0
small18,0.02,2,0
large1,121.29,50,0
large2,50.32,20,0.05
large3,8.36,16,0.07
large4,208.8,147,0.62
large5,1.63,7,0.17
large6,3.82,7,0.17
large7,356.67,168,0.77
large8,0.96,5,0
large9,10.37,15,0.07
large10,571.45,304,0.38
large11,177.07,55,0.38
large12,4.58,17,0.13
test1,0.02,2,0
test2,0.02,2,0
test3,0.05,6,0
test4,0.03,4,0
test5,0.03,4,0